,_1,_2
0,r,"['52214594', '50954487', '50926826', '50926851', '50946768', '50927397', '50969948', '50947216', '50938181', '50958735', '50975289', '50954421', '50954471', '50964069', '50964078', '50964106', '50987622', '50934654', '50923468', '50934419', '50934450', '50969878', '50981322', '50981360', '50993441', '50954315', '50987521', '51002990', '50997768', '51030958', '51031095', '52166473', '51016086', '51023447', '51031171', '48323643', '51030858', '51030885', '50942229', '51016244', '51016328', '50975306', '50975321', '50975354', '48324165', '48324212', '50934607', '48324537', '48324543', '52167040', '48324677', '52167510', '50970028', '50988220', '51032141', '52167935', '52167369', '48324106', '52168127', '52166845', '52167738', '48324940', '48324956', '52168290', '48324450', '48325511', '52166946', '52168358', '48325947', '52166526', '48324831', '48324893', '52168698', '48326168', '48326220', '48324281', '52169254', '52169268', '52169326', '51037898', '52166731', '48325710', '48325717', '52169445', '52168079', '52168105', '48326282', '48327114', '48327117', '48325767', '48325808', '48326874', '48326927', '52169684', '52169738', '52170098', '52168816', '52169163', '52169200', '52169210', '48325605', '52168416', '48326436', '48326145', '52170392', '52169786', '48327436', '52169066', '48327716', '48327727', '48327738', '48328086', '52167794', '52167803', '48328167', '48327278', '48327380', '52169673', '52170323', '52170609', '52170610', '52170620', '52167567', '52168341', '48326751', '48328544', '48327637', '48327641', '48327643', '48328111', '52170712', '48328454', '48328484', '52190899', '52190904', '52191370', '52171023', '48328326', '52191058', '52191599', '48348435', '52170860', '52168650', '52170512', '52170556', '52171091', '52191025', '48327170', '48327190', '52192196', '52192223', '52191437', '52192554', '48327958', '48328009', '48348566', '48348933', '48349713', '48349731', '52193105', '48348382', '48348998', '52193383', '52193302', '52193319', '52193334', '48349862', '48328738', '48328819', '48348817', '48348883', '48349162', '48349654', '48349677', '52193021', '48350069', '48349288', '48349402', '52192371', '52192776', '52192972', '52193405', '48350034', '52193809', '52193840', '52193883', '52214936', '52192719', '52192732', '48349858', '48371146', '52193179', '52193234', '52193995', '48371341', '48371350', '48371367', '48371378', '52191674', '52191683', '52191685', '52191720', '52193553', '52193612', '48372218', '48371551', '52215752', '52215800', '52194127', '52194165', '52215452', '52215560', '52215193', '48372519', '48372576', '52216341', '48328364', '52216797', '52193132', '52193147', '52193165', '48372842', '52215914', '52215977', '52214985', '48372723', '48372731', '52217050', '48372300', '48372308', '48373571', '48373597', '48373603', '48372636', '52215350', '48373118', '48373138', '48371715', '48372955', '48374016', '48374028', '48371489', '48374179', '48374188', '48374199', '52217951', '48374417', '52217448', '52218111', '48373739', '48373864', '48373890', '52218639', '48374718', '48375333', '52218183', '52217021', '52218465', '48375378', '52217110', '52217137', '48374625', '52219211', '52218702', '48374566', '48373653', '48373666', '48373935', '48374906', '48374914', '48376494', '48373082', '52219453', '52219466', '52219541', '48375533', '48376156', '52216054', '52217852', '52217927', '48376030', '52220585', '52220619', '52218539', '52218585', '52219784', '48376919', '48376966', '52218824', '52219724', '52220415', '52220435', '48377558', '48377599', '52220934', '52219919', '52219966', '48377179', '48377196', '52219601', '52220839', '48412357', '48377647', '48412250', '48412643', '48412698', '52255775', '52256297', '52256310', '48377918', '52221357', '52221044', '52221054', '52255544', '52255563', '48412772', '52256590', '52220289', '48412570', '52256862', '48412852', '52256757', '48413432', '48413452', '48413670', '52256190', '48412465', '52256265', '48414481', '52220994', '52256905', '48414124', '52256782', '52256794', '52256805', '52257775', '52258376', '52256631', '48413898', '52257657', '52257669', '48414704', '48414869', '52258202', '52257969', '48415372', '52259126', '52257783', '48414292', '48412514', '48414397', '48414410', '48414413', '52258420', '52288160', '52258519', '52288525', '52288582', '48415730', '48447373', '52258269', '52258326', '48446296', '48415908', '48446541', '48446942', '48447831', '52289009', '52289016', '52289380', '48447923', '48447059', '48447997', '48448207', '48446860', '48447365', '48448084', '48447637', '48447656', '48447665', '48447680', '48448514', '48447524', '48448587', '48448667', '48448676', '48448420', '48448421', '48448427', '52290189', '48415805', '48446816', '52287916', '48448318', '52259077', '52289812', '48447307', '52290947', '48448483', '52289974', '52290015', '52290051', '48448293', '48449716', '48448723', '48448741', '48449405', '48447898', '48448889', '52291092', '48449799', '48448818', '48448835', '48449078', '48449102', '48449858', '48449886', '48449566', '48450273', '48450274', '48450308', '50923609', '50923646', '48450342', '52291691', '48449972', '48450019', '50920906', '50920693', '50930752', '50930758', '50930760', '50938412', '50938441', '50934844', '50927062', '50927091', '50938473', '50938502', '50958851', '50958860', '50964533', '50970263', '52291472', '50935151', '50935185', '48449812', '48450179', '48450222', '48450227', '50931000', '52291905', '50954680', '50950586', '50958967', '48450374', '48450420', '50970362', '50970374', '50970403', '50954709', '50954730', '50954747', '52291598', '52291648', '50964402', '50964426', '50987838', '50959026', '50970081', '50970088', '52291358', '52291774', '50975615', '50942471', '50942498', '50950684', '51003167', '51003310', '50994018', '50994046', '50994057', '51009631', '50958987', '51003927', '50987751', '51009585', '51031332', '50975486', '50975487', '50975551', '50993785', '51043043', '51060323', '51031225', '51031230', '51031289', '51031308', '51039055', '51039082', '51039110', '50954779', '51031395', '51057790', '51057799', '50959083', '51043189', '51057906', '51085089', '51024675', '50938562', '50964602', '51085440', '51085451', '51067927', '51067972', '51052566', '51052584', '51085271', '51085289', '51023818', '51057910', '51066250', '51060595', '51095156', '51060400', '51127689', '51003332', '51023895', '51094880', '51094923', '51094930', '51105676', '51128768', '51128808', '51024728', '51139531', '51139546', '51095249', '51127603', '51127671', '51116495', '51140075', '51106440', '51116722', '51151921', '51085425', '51116284', '51050750', '51116566', '51075456', '51075532', '51116416', '50970207', '50942692', '50942696', '51139609', '51152114', '51152150', '51152169', '51163921', '51139793', '51178600', '51127466', '51127479', '51127510', '51140084', '51140134', '51164018', '51163475', '51127918', '51140240', '51189802', '51213463', '51213469', '51213536', '51188672', '51116068', '51213886', '51213904', '51163292', '51197325', '51214029', '51152491', '51163603', '51197214', '51197223', '51197275', '51178646', '51178709', '51188889', '51229696', '51230216', '51127779', '51163629', '51178556', '51178572', '51197480', '51229866', '51247912', '51247975', '51248389', '51127867', '51139735', '51214357', '51230485', '51230522', '51265666', '51230429', '51248029', '51248569', '51248640', '51266193', '51230567', '51230066', '51248293', '51197115', '51266432', '51266468', '51285280', '51285320', '51213615', '51213642', '51248522', '51188867', '51214101', '51247677', '51247724', '51230261', '51285266', '51265725', '51265746', '51266782', '51197047', '51247568', '51304455', '51304138', '51247798', '51304664', '51213705', '51213709', '51266538', '51324160', '51324188', '51324870', '51304183', '51324093', '51324610', '51303976', '51324936', '51345160', '51285942', '51345262', '51345332', '51366763', '51366775', '51366834', '51265625', '51285149', '51266371', '51367237', '51325069', '51324684', '51324695', '51344946', '51367729', '51304479', '51305016', '51266225', '51344701', '51366853', '51367204', '51367234', '51391077', '51391117', '51391508', '51367973', '51391299', '51367397', '51391195', '51391205', '51284929', '51285007', '51325319', '51367785', '51367813', '51367837', '51391224', '51391835', '51368344', '51368089', '51368120', '51368230', '51368269', '51414801', '51414830', '51392439', '51345405', '51345409', '51368376', '51368405', '51392287', '51392362', '51415945', '51415578', '51392152', '51414756', '51438627', '51438213', '51438222', '51438069', '51463499', '51438980', '51439051', '51439055', '51439076', '51392540', '51392581', '51463409', '51464490', '51437647', '51463037', '51463124', '51463539', '51489553', '51463901', '51392181', '51415239', '51415240', '51463361', '51490022', '51489216', '51489221', '51489719', '51489810', '51489815', '51490279', '51463629', '50923759', '50923791', '50923796', '51489153', '51489169', '50931164', '50931183', '51518065', '50938591', '50938631', '50938637', '51464881', '51490364', '51490377', '51534216', '50927168', '51489691', '51490499', '51490506', '51490556', '51534493', '51518162', '51518222', '51518228', '50954837', '51490079', '50935015', '51534242', '51534351', '50935029', '50964724', '51464555', '50931199', '51518367', '51518444', '50954982', '50954989', '50975681', '50975702', '50938701', '50947159', '50976054', '50994074', '50950899', '50950906', '50964763', '50988018', '50997636', '50950820', '51003827', '50959153', '50975846', '50982005', '51437450', '51550956', '51017175', '51010197', '51010222', '50994172', '50994246', '51003434', '51024527', '50959364', '51024325', '51024348', '51024363', '51038053', '51045709', '50975899', '50975906', '51010058', '51043254', '51043277', '51024185', '50997694', '51038308', '51039262', '51051011', '51051019', '51051054', '51003622', '51009942', '51009950', '51038271', '51038794', '51043541', '51050971', '51066311', '51031693', '51066481', '51043870', '51044227', '51044277', '51044278', '51044292', '51075704', '51075722', '51085590', '51044592', '51044514', '51044515', '51044117', '51044146', '51086122', '51045168', '51095438', '51045088', '51045130', '51045459', '51076743', '51105825', '51044405', '51044436', '51106003', '51095757', '51044898', '51044958', '51038675', '51085692', '51086816', '51051519', '51051563', '51043753', '51043755', '51095725', '51051872', '50981747', '51038400', '51044812', '51044852', '51044885', '51045345', '51045352', '51052119', '51052125', '51045400', '51106204', '51106279', '51051574', '51052026', '51140680', '51140693', '51140451', '51140472', '51052301', '51140641', '51051465', '51051732', '51106344', '51106161', '51140993', '51128593', '51152762', '51152781', '51052496', '51051950', '51052836', '51117346', '51117375', '51051785', '51051810', '51058923', '51059737', '51140370', '51140497', '51140513', '51140518', '51059532', '51059203', '51059295', '51066709', '51153344', '51153358', '51153365', '51153394', '51128281', '51128329', '51164430', '51164447', '51164470', '51152836', '51066938', '51066940', '51164640', '51164566', '51164948', '51060222', '51164128', '51164158', '51164194', '51059372', '51066865', '51067262', '51067311', '51067332', '51067234', '51179175', '51058833', '51153118', '51153184', '51153245', '51067085', '51067138', '51067143', '51165128', '51189017', '51189044', '51066749', '51066784', '51178924', '51141048', '51178858', '51178870', '51178914', '51076597', '51179082', '51067792', '51189217', '51067601', '51086269', '51189268', '51086379', '51189467', '51086595', '51086661', '51189633', '51067877', '51076142', '51086584', '51067655', '51067689', '51067690', '50148321', '51086748', '51086750', '51086764', '50148462', '51066605', '51066674', '51164862', '53967337', '51066900', '51189178', '51189202', '50147917', '53967191', '50148905', '53968189', '53968210', '53967385', '53966819', '50149896', '50150269', '50150309', '53967077', '50150444', '53967772', '53969147', '53968353', '50150811', '53969265', '53968857', '50149363', '50151061', '53968490', '53968532', '50150103', '50150957', '51179388', '50150062', '53969062', '53970003', '53970017', '51076322', '51076386', '50152169', '53969599', '50152273', '50152022', '50152026', '53970311', '50151317', '50152607', '53969000', '53969017', '50152532', '53969334', '50151471', '50152687', '53971847', '53970548', '53971342', '53971364', '53972034', '53970676', '53971524', '53971619', '50153220', '53971066', '50152125', '53970347', '53970408', '50153737', '50153760', '50153817', '53972889', '53972940', '53972949', '53973350', '50153142', '53973020', '53971700', '50153000', '50154398', '50154444', '50155285', '50155310', '50154012', '50154028', '50356147', '50154277', '50154349', '50356312', '50356326', '50154466', '50154539', '53972837', '53972838', '50356585', '50356659', '50357378', '50356824', '50356829', '50356842', '50356890', '50153945', '50357465', '50357475', '50357101', '50357766', '50358180', '50357722', '50358689', '50155112', '50357011', '50358408', '53973262', '50357789', '50154971', '50358702', '50358797', '50358041', '50359647', '50361059', '50361083', '50359661', '50360035', '50360039', '53973475', '50359116', '50359863', '50359431', '50359447', '50359460', '50359966', '50359997', '50361030', '50359343', '50360882', '50358918', '50358994', '50358996', '50360165', '50360196', '50361804', '50361813', '50361947', '50361662', '50359153', '50362113', '50358471', '50358506', '50360709', '50361568', '50362461', '50362511', '50362032', '50362829', '50362839', '50360861', '50361240', '50362201', '50362275', '50360410', '50359804', '50360753', '50360769', '50357402', '50357464', '50360548', '50364249', '50361378', '50361168', '50361193', '50364796', '50364842', '50363431', '50364190', '50363580', '50362985', '50365321', '50365358', '50361884', '50361889', '50361923', '50362706', '50367379', '50367231', '50365409', '50366322', '50366387', '50364701', '50365647', '50368430', '50367114', '50361491', '50363193', '50364930', '50367397', '50367449', '50365865', '50366830', '50367760', '50367769', '50366009', '50366032', '50367815', '50370051', '50370140', '50371089', '50369981', '50370005', '50370958', '50370972', '50368690', '50368733', '50368497', '50371265', '50371313', '50369551', '50372554', '50372181', '50372235', '50373065', '50369443', '50370558', '50373225', '50367666', '50371785', '50371811', '50371825', '50371827', '50371828', '50371849', '50372666', '50370886', '50374197', '50371896', '50372700', '50372121', '50372154', '50372162', '50373340', '50373393', '50368310', '50369821', '50369861', '50373128', '50372809', '50372828', '50375410', '50371560', '50371561', '50373297', '50375791', '50372943', '50373243', '50375681', '50374423', '50376014', '50373497', '50374316', '50374966', '50375041', '50371760', '50372439', '50372497', '50372533', '50374189', '50375904', '50375966', '50640381', '50376778', '50372043', '50641021', '50641092', '50376590', '50377365', '50377403', '50377407', '50641235', '50376229', '50376231', '50376275', '50376377', '50376411', '50376423', '50640609', '50377031', '50376224', '50376908', '50376913', '50376936', '50374629', '50374644', '50641184', '50641186', '50642776', '50643999', '50644029', '50377496', '50377500', '50377517', '50640538', '50642597', '50641729', '50642494', '50643577', '50375619', '50375664', '50377287', '50641381', '50642009', '50643251', '50645950', '50645970']"
1,shiny,"['52214594', '50958735', '51002990', '51030885', '52167738', '48325511', '52169445', '48325814', '52169786', '52167803', '52170609', '48348566', '52214936', '48371146', '52193179', '48374188', '52217110', '48375533', '48376156', '52259126', '52288160', '52258519', '48446860', '48448889', '48448818', '48450273', '50923609', '50920906', '50954709', '50970088', '50987751', '51043043', '51039055', '51039082', '51139531', '51140134', '51213536', '51197214', '51248389', '51265725', '51266782', '51304138', '51391077', '51489169', '50931164', '51534493', '50975681', '50975899', '51024185', '51044292', '51075722', '51117346', '51060222', '51059372', '51153184', '51086269', '53969265', '50150103', '53971619', '50153817', '53972837', '50357378', '50356842', '50357766', '50358994', '50362541', '50363193', '50366009', '50370958', '50368690', '50369443', '50371827', '50370886', '50372162', '50641021']"
